Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
4,,0,5653703,5653703,2015,1262294,A,Reinforced Concrete,,0.3016686132,0,96.06,4184373,,,,2,,1,0.23,,,1168019.99,,,88.89,88.89,26.81,,,,Guadalupe,TX,78154,Industrial,7/1/2016,112200000,Sold,,,,Distribution,"9830 Colonnade Blvd, 600",San Antonio,USAA Real Estate Company,,1262294,5 Star,S12,Guadalupe County,Single,,1262294,,2013
28,,14736350,1013650,15750000,2016,247861,B,Masonry,"10'6""-15'8""",0.3105953618,93,18.32,798019,9,,,1,265,2,1.06,,,655021.83,,,48.41,48.41,15.04,,,,Bexar,TX,78219,Industrial,11/2/2016,12000000,Sold,,,,Distribution,"518 17th St, 17th Floor",Denver,"Industrial Property Trust, Inc.",Andrea Karp,247861,2 Star,S06,Northeast,Single,444528.79,247861,,1989
4,3311381,,,,,11200,B,Metal,,0,,7,304920,10333,,270,,20,,1.78,,,435714.29,,,272.32,272.32,10,,,,Bexar,TX,78223,Industrial,10/26/2015,3050000,Sold,,,,Warehouse,108 W 4th Ave,Cheyenne,Site West Development LLC,,11200,2 Star,S08,South,Single,,,,2013
36,,1631300,563700,2195000,2014,46969,C,,"18'0""-22'0""",0.4749428681,74,2.27,98894,,,,1,116,7,2.47,,,1277364.22,,,61.74,61.74,29.32,,,,Bexar,TX,78216,Industrial,6/1/2015,2900000,Sold,,,,Service,"10611 Harwin Dr, 406",Houston,"LEDI2, Inc.",Jinsong Sheng,46969,3 Star,S05,North Central,Multi,123497.36,46969,34.15,1981
66,3100000,1783070,396930,2180000,2014,107000,C,Masonry,"18'0""-24'0""",0.3047625558,81,8.06,351093,12040,,278,1,,1,5,,,341191.07,,,25.7,25.7,7.83,,,,Bexar,TX,78220,Industrial,3/24/2015,2750000,Sold,,,,Manufacturing,610 Pop Gunn Dr,San Antonio,International Paper Company,,107000,2 Star,S06,Northeast,Multi,70752.99,107000,,1951
62,1599850,774290,125710,900000,2016,28000,C,Masonry,"14'0""-20'0""",0.6986899563,86,0.92,40075,,,985,1,12,1,0.44,11.428571,,2139945.65,,,70.31,70.31,49.13,,,,Bexar,TX,78204,Industrial,9/26/2016,1968750,Sold,,,,Warehouse,,,,,28000,2 Star,S01,CBD,Multi,25401.65,28000,,1955
33,,856730,240260,1096990,2015,29193,B,Masonry,,0.1736221386,78,3.86,168141,9311,,222,1,15,2,0.51,10.999212,,492227.98,,,65.08,65.08,11.3,,,,Bexar,TX,78244,Industrial,7/18/2016,1900000,Sold,,,,Warehouse,,,,,29193,2 Star,S06,Northeast,Single,36837.98,29193,,1984
21,1799000,294400,291550,585950,2014,7242,C,Metal,,0.0280833737,50,5.92,257875,7718,,382,1,20,2,2.76,,,266047.3,,,217.48,217.48,6.11,,,,Bexar,TX,78219,Industrial,6/22/2015,1575000,Sold,,,,Truck Terminal,"610 E MARKET St, 2515",San Antonio,Darwin Mack Mandell,,7242,1 Star,S06,Northeast,Multi,15946.79,7242,,1996
23,,,,,,54285,B,Masonry,,,,,,,,,1,80,1,1.47,,,,,,27.68,27.68,,,,,Bexar,TX,78219,Industrial,4/22/2016,1502820,Sold,,,,Warehouse,,,,,54285,3 Star,S08,South,Single,1241.58,54285,,1994
52,,,,,,22500,C,Metal,"26'0""",0.2216879816,,2.33,101494,250,,209,1,10,1,0.44,,,600858.37,,,62.22,62.22,13.79,,,,Bexar,TX,78217,Industrial,8/31/2016,1400000,Sold,,,,Warehouse,,,,,22500,2 Star,S05,North Central,Single,18163.79,22500,,1965
2,,,,,,6300,B,,"18'0""",0.0353097449,,4.1,178421,250,,103,1,,1,,22.222222,,292968.75,,,190.48,190.48,6.73,,,,Bexar,TX,78109,Industrial,10/11/2016,1200000,Sold,,,,Warehouse,,,,,6300,1 Star,S08,South,Single,,6300,,2015
2,1100000,0,131725,131725,2015,10000,B,Reinforced Concrete,"16'0""",0.2732987155,0,0.84,36590,9311,,449,1,,,3.5,14,,1369047.62,,,115,115,31.43,,,,Comal,TX,78154,Industrial,9/2/2015,1150000,Sold,,,,Warehouse,4888 Whirlwind,San Antonio,"Biltmore Construction Management, LLC",Jim Moore,10000,2 Star,S33,Comal County,Single,,10000,,2015
